month,company_name,category,item,spec,channel,price_source,quantity,price
2026-01,(주)에이비씨,생활탕비,맥심 모카골드,180T x 2박스,일반유통채널,시중평균가,5,42000
2026-01,(주)에이비씨,생활탕비,맥심 모카골드,180T x 2박스,업무마켓9,캐스팅엔제휴가,5,36000
2026-01,(주)스타트업X,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,일반유통채널,시중평균가,11,210000
2026-01,(주)스타트업X,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,업무마켓9,캐스팅엔제휴가,11,175000
2026-01,(주)케이비즈,사무용품,복사용지 A4 80g,1Box(2500매),일반유통채널,시중평균가,8,32000
2026-01,(주)케이비즈,사무용품,복사용지 A4 80g,1Box(2500매),업무마켓9,캐스팅엔제휴가,8,24500
2026-01,디지털이노베이션,사무용품,복사용지 A4 80g,1Box(2500매),일반유통채널,시중평균가,14,32000
2026-01,디지털이노베이션,사무용품,복사용지 A4 80g,1Box(2500매),업무마켓9,캐스팅엔제휴가,14,24500
2026-01,(주)미래유통,사무용품,복사용지 A4 80g,1Box(2500매),일반유통채널,시중평균가,12,32000
2026-01,(주)미래유통,사무용품,복사용지 A4 80g,1Box(2500매),업무마켓9,캐스팅엔제휴가,12,24500
2026-01,금융테크랩,IT자산,사무용 모니터 27인치,4K UHD IPS,일반유통채널,시중평균가,2,450000
2026-01,금융테크랩,IT자산,사무용 모니터 27인치,4K UHD IPS,업무마켓9,캐스팅엔제휴가,2,380000
2026-01,(주)트래블나우,IT자산,사무용 모니터 27인치,4K UHD IPS,일반유통채널,시중평균가,13,450000
2026-01,(주)트래블나우,IT자산,사무용 모니터 27인치,4K UHD IPS,업무마켓9,캐스팅엔제휴가,13,380000
2026-01,뷰티인사이드,사무용품,복사용지 A4 80g,1Box(2500매),일반유통채널,시중평균가,10,32000
2026-01,뷰티인사이드,사무용품,복사용지 A4 80g,1Box(2500매),업무마켓9,캐스팅엔제휴가,10,24500
2026-01,(주)이노커브,IT자산,사무용 모니터 27인치,4K UHD IPS,일반유통채널,시중평균가,11,450000
2026-01,(주)이노커브,IT자산,사무용 모니터 27인치,4K UHD IPS,업무마켓9,캐스팅엔제휴가,11,380000
2026-01,대전테크노,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,일반유통채널,시중평균가,2,210000
2026-01,대전테크노,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,업무마켓9,캐스팅엔제휴가,2,175000
2026-02,(주)에이비씨,IT자산,무선 키보드 마우스 세트,2.4GHz 하이엔드,일반유통채널,시중평균가,8,85000
2026-02,(주)에이비씨,IT자산,무선 키보드 마우스 세트,2.4GHz 하이엔드,업무마켓9,캐스팅엔제휴가,8,69000
2026-02,(주)스타트업X,사무용품,복사용지 A4 80g,1Box(2500매),일반유통채널,시중평균가,10,32000
2026-02,(주)스타트업X,사무용품,복사용지 A4 80g,1Box(2500매),업무마켓9,캐스팅엔제휴가,10,24500
2026-02,(주)케이비즈,사무용품,복사용지 A4 80g,1Box(2500매),일반유통채널,시중평균가,14,32000
2026-02,(주)케이비즈,사무용품,복사용지 A4 80g,1Box(2500매),업무마켓9,캐스팅엔제휴가,14,24500
2026-02,디지털이노베이션,IT자산,무선 키보드 마우스 세트,2.4GHz 하이엔드,일반유통채널,시중평균가,3,85000
2026-02,디지털이노베이션,IT자산,무선 키보드 마우스 세트,2.4GHz 하이엔드,업무마켓9,캐스팅엔제휴가,3,69000
2026-02,(주)미래유통,IT자산,무선 키보드 마우스 세트,2.4GHz 하이엔드,일반유통채널,시중평균가,5,85000
2026-02,(주)미래유통,IT자산,무선 키보드 마우스 세트,2.4GHz 하이엔드,업무마켓9,캐스팅엔제휴가,5,69000
2026-02,금융테크랩,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,일반유통채널,시중평균가,14,210000
2026-02,금융테크랩,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,업무마켓9,캐스팅엔제휴가,14,175000
2026-02,(주)트래블나우,생활탕비,맥심 모카골드,180T x 2박스,일반유통채널,시중평균가,5,42000
2026-02,(주)트래블나우,생활탕비,맥심 모카골드,180T x 2박스,업무마켓9,캐스팅엔제휴가,5,36000
2026-02,뷰티인사이드,생활탕비,맥심 모카골드,180T x 2박스,일반유통채널,시중평균가,8,42000
2026-02,뷰티인사이드,생활탕비,맥심 모카골드,180T x 2박스,업무마켓9,캐스팅엔제휴가,8,36000
2026-02,(주)이노커브,IT자산,사무용 모니터 27인치,4K UHD IPS,일반유통채널,시중평균가,2,450000
2026-02,(주)이노커브,IT자산,사무용 모니터 27인치,4K UHD IPS,업무마켓9,캐스팅엔제휴가,2,380000
2026-02,대전테크노,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,일반유통채널,시중평균가,3,210000
2026-02,대전테크노,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,업무마켓9,캐스팅엔제휴가,3,175000
2026-03,(주)에이비씨,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,일반유통채널,시중평균가,5,210000
2026-03,(주)에이비씨,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,업무마켓9,캐스팅엔제휴가,5,175000
2026-03,(주)스타트업X,IT자산,사무용 모니터 27인치,4K UHD IPS,일반유통채널,시중평균가,7,450000
2026-03,(주)스타트업X,IT자산,사무용 모니터 27인치,4K UHD IPS,업무마켓9,캐스팅엔제휴가,7,380000
2026-03,(주)케이비즈,IT자산,무선 키보드 마우스 세트,2.4GHz 하이엔드,일반유통채널,시중평균가,8,85000
2026-03,(주)케이비즈,IT자산,무선 키보드 마우스 세트,2.4GHz 하이엔드,업무마켓9,캐스팅엔제휴가,8,69000
2026-03,디지털이노베이션,IT자산,사무용 모니터 27인치,4K UHD IPS,일반유통채널,시중평균가,11,450000
2026-03,디지털이노베이션,IT자산,사무용 모니터 27인치,4K UHD IPS,업무마켓9,캐스팅엔제휴가,11,380000
2026-03,(주)미래유통,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,일반유통채널,시중평균가,13,210000
2026-03,(주)미래유통,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,업무마켓9,캐스팅엔제휴가,13,175000
2026-03,금융테크랩,IT자산,무선 키보드 마우스 세트,2.4GHz 하이엔드,일반유통채널,시중평균가,11,85000
2026-03,금융테크랩,IT자산,무선 키보드 마우스 세트,2.4GHz 하이엔드,업무마켓9,캐스팅엔제휴가,11,69000
2026-03,(주)트래블나우,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,일반유통채널,시중평균가,15,210000
2026-03,(주)트래블나우,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,업무마켓9,캐스팅엔제휴가,15,175000
2026-03,뷰티인사이드,생활탕비,맥심 모카골드,180T x 2박스,일반유통채널,시중평균가,11,42000
2026-03,뷰티인사이드,생활탕비,맥심 모카골드,180T x 2박스,업무마켓9,캐스팅엔제휴가,11,36000
2026-03,(주)이노커브,생활탕비,맥심 모카골드,180T x 2박스,일반유통채널,시중평균가,7,42000
2026-03,(주)이노커브,생활탕비,맥심 모카골드,180T x 2박스,업무마켓9,캐스팅엔제휴가,7,36000
2026-03,대전테크노,생활탕비,맥심 모카골드,180T x 2박스,일반유통채널,시중평균가,9,42000
2026-03,대전테크노,생활탕비,맥심 모카골드,180T x 2박스,업무마켓9,캐스팅엔제휴가,9,36000
2026-04,(주)에이비씨,사무용품,복사용지 A4 80g,1Box(2500매),일반유통채널,시중평균가,4,32000
2026-04,(주)에이비씨,사무용품,복사용지 A4 80g,1Box(2500매),업무마켓9,캐스팅엔제휴가,4,24500
2026-04,(주)스타트업X,생활탕비,맥심 모카골드,180T x 2박스,일반유통채널,시중평균가,2,42000
2026-04,(주)스타트업X,생활탕비,맥심 모카골드,180T x 2박스,업무마켓9,캐스팅엔제휴가,2,36000
2026-04,(주)케이비즈,생활탕비,맥심 모카골드,180T x 2박스,일반유통채널,시중평균가,15,42000
2026-04,(주)케이비즈,생활탕비,맥심 모카골드,180T x 2박스,업무마켓9,캐스팅엔제휴가,15,36000
2026-04,디지털이노베이션,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,일반유통채널,시중평균가,11,210000
2026-04,디지털이노베이션,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,업무마켓9,캐스팅엔제휴가,11,175000
2026-04,(주)미래유통,IT자산,사무용 모니터 27인치,4K UHD IPS,일반유통채널,시중평균가,9,450000
2026-04,(주)미래유통,IT자산,사무용 모니터 27인치,4K UHD IPS,업무마켓9,캐스팅엔제휴가,9,380000
2026-04,금융테크랩,IT자산,무선 키보드 마우스 세트,2.4GHz 하이엔드,일반유통채널,시중평균가,8,85000
2026-04,금융테크랩,IT자산,무선 키보드 마우스 세트,2.4GHz 하이엔드,업무마켓9,캐스팅엔제휴가,8,69000
2026-04,(주)트래블나우,IT자산,사무용 모니터 27인치,4K UHD IPS,일반유통채널,시중평균가,4,450000
2026-04,(주)트래블나우,IT자산,사무용 모니터 27인치,4K UHD IPS,업무마켓9,캐스팅엔제휴가,4,380000
2026-04,뷰티인사이드,생활탕비,맥심 모카골드,180T x 2박스,일반유통채널,시중평균가,4,42000
2026-04,뷰티인사이드,생활탕비,맥심 모카골드,180T x 2박스,업무마켓9,캐스팅엔제휴가,4,36000
2026-04,(주)이노커브,생활탕비,맥심 모카골드,180T x 2박스,일반유통채널,시중평균가,3,42000
2026-04,(주)이노커브,생활탕비,맥심 모카골드,180T x 2박스,업무마켓9,캐스팅엔제휴가,3,36000
2026-04,대전테크노,IT자산,무선 키보드 마우스 세트,2.4GHz 하이엔드,일반유통채널,시중평균가,4,85000
2026-04,대전테크노,IT자산,무선 키보드 마우스 세트,2.4GHz 하이엔드,업무마켓9,캐스팅엔제휴가,4,69000
2026-05,(주)에이비씨,IT자산,사무용 모니터 27인치,4K UHD IPS,일반유통채널,시중평균가,7,450000
2026-05,(주)에이비씨,IT자산,사무용 모니터 27인치,4K UHD IPS,업무마켓9,캐스팅엔제휴가,7,380000
2026-05,(주)스타트업X,사무용품,복사용지 A4 80g,1Box(2500매),일반유통채널,시중평균가,12,32000
2026-05,(주)스타트업X,사무용품,복사용지 A4 80g,1Box(2500매),업무마켓9,캐스팅엔제휴가,12,24500
2026-05,(주)케이비즈,사무용품,복사용지 A4 80g,1Box(2500매),일반유통채널,시중평균가,8,32000
2026-05,(주)케이비즈,사무용품,복사용지 A4 80g,1Box(2500매),업무마켓9,캐스팅엔제휴가,8,24500
2026-05,디지털이노베이션,사무용품,복사용지 A4 80g,1Box(2500매),일반유통채널,시중평균가,14,32000
2026-05,디지털이노베이션,사무용품,복사용지 A4 80g,1Box(2500매),업무마켓9,캐스팅엔제휴가,14,24500
2026-05,(주)미래유통,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,일반유통채널,시중평균가,11,210000
2026-05,(주)미래유통,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,업무마켓9,캐스팅엔제휴가,11,175000
2026-05,금융테크랩,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,일반유통채널,시중평균가,10,210000
2026-05,금융테크랩,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,업무마켓9,캐스팅엔제휴가,10,175000
2026-05,(주)트래블나우,사무용품,복사용지 A4 80g,1Box(2500매),일반유통채널,시중평균가,12,32000
2026-05,(주)트래블나우,사무용품,복사용지 A4 80g,1Box(2500매),업무마켓9,캐스팅엔제휴가,12,24500
2026-05,뷰티인사이드,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,일반유통채널,시중평균가,9,210000
2026-05,뷰티인사이드,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,업무마켓9,캐스팅엔제휴가,9,175000
2026-05,(주)이노커브,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,일반유통채널,시중평균가,14,210000
2026-05,(주)이노커브,사무용품,인체공학 사무용 의자,메쉬 소재 블랙,업무마켓9,캐스팅엔제휴가,14,175000
2026-05,대전테크노,IT자산,무선 키보드 마우스 세트,2.4GHz 하이엔드,일반유통채널,시중평균가,11,85000
2026-05,대전테크노,IT자산,무선 키보드 마우스 세트,2.4GHz 하이엔드,업무마켓9,캐스팅엔제휴가,11,69000
